50-1-0           &     50        &     12        &     3         &&    454       &     454       &     0.00      &     0.01      &     1         &     85        &     42        \\    
50-1-1           &     50        &     12        &     3         &&    605       &     605       &     0.00      &     0.02      &     1         &     91        &     57        \\    
50-1-2           &     50        &     13        &     3         &&    563       &     563       &     0.00      &     0.02      &     14        &     92        &     37        \\    
50-1-3           &     50        &     11        &     3         &&    456       &     456       &     0.00      &     0.02      &     14        &     71        &     39        \\    
50-1-4           &     50        &     12        &     3         &&    524       &     524       &     0.00      &     0.01      &     1         &     85        &     22        \\    
50-2-0           &     50        &     29        &     9         &&    1967      &     1967      &     0.00      &     2.56      &     2378      &     1476      &     9568      \\    
50-2-1           &     50        &     26        &     9         &&    1743      &     1743      &     0.00      &     0.66      &     121       &     330       &     971       \\    
50-2-2           &     50        &     28        &     9         &&    1850      &     1850      &     0.00      &     8.57      &     4952      &     3929      &     23160     \\    
50-2-3           &     50        &     20        &     9         &&    1661      &     1661      &     0.00      &     0.17      &     1         &     224       &     281       \\    
50-2-4           &     50        &     26        &     9         &&    1674      &     1674      &     0.00      &     3.90      &     2351      &     2115      &     15959     \\    
50-3-0           &     50        &     36        &     10        &&    2653      &     2653      &     0.00      &     142.04    &     153368    &     80485     &     721212    \\    
50-3-1           &     50        &     32        &     10        &&    2568      &     2568      &     0.00      &     1.87      &     2106      &     2186      &     16872     \\    
50-3-2           &     50        &     46        &     10        &&    2648      &     2648      &     0.00      &     123.25    &     230661    &     212944    &     1855811   \\    
50-3-3           &     50        &     28        &     10        &&    1913      &     1913      &     0.00      &     16.45     &     25806     &     14835     &     111177    \\    
50-3-4           &     50        &     42        &     10        &&    2306      &     2388      &     3.56      &     1800.67   &     2042085   &     1453539   &     13996804  \\    
50-4-0           &     50        &     51        &     5         &&    2113      &     2113      &     0.00      &     163.93    &     92944     &     81224     &     356490    \\    
50-4-1           &     50        &     41        &     5         &&    2124      &     2124      &     0.00      &     102.95    &     454890    &     257200    &     1236761   \\    
50-4-2           &     50        &     49        &     5         &&    2709      &     2709      &     0.00      &     105.09    &     185230    &     127827    &     581707    \\    
50-4-3           &     50        &     53        &     5         &&    2237      &     2237      &     0.00      &     47.82     &     248643    &     147792    &     591781    \\    
50-4-4           &     50        &     48        &     5         &&    2273      &     2273      &     0.00      &     63.15     &     155219    &     128367    &     597331    \\    
50-5-0           &     50        &     58        &     7         &&    2612      &     2612      &     0.00      &     1.33      &     8075      &     8442      &     54711     \\    
50-5-1           &     50        &     54        &     7         &&    2313      &     2313      &     0.00      &     637.48    &     390587    &     257802    &     1510180   \\    
50-5-2           &     50        &     57        &     7         &&    2856      &     2856      &     0.00      &     25.47     &     96782     &     95211     &     610033    \\    
50-5-3           &     50        &     64        &     7         &&    2205      &     2205      &     0.00      &     0.01      &     1         &     36        &     5         \\    
50-5-4           &     50        &     61        &     7         &&    2514      &     2514      &     0.00      &     1.02      &     6437      &     6699      &     44440     \\    
50-6-0           &     50        &     77        &     5         &&    2572      &     2572      &     0.00      &     0.00      &     1         &     0         &     0         \\    
50-6-1           &     50        &     68        &     5         &&    2573      &     2573      &     0.00      &     0.00      &     1         &     31        &     0         \\    
50-6-2           &     50        &     81        &     5         &&    2236      &     2236      &     0.00      &     0.01      &     1         &     40        &     7         \\    
50-6-3           &     50        &     72        &     5         &&    2421      &     2421      &     0.00      &     18.30     &     82310     &     83409     &     367795    \\    
50-6-4           &     50        &     76        &     5         &&    2392      &     2392      &     0.00      &     0.00      &     1         &     0         &     0         \\    
